Conditions
"[""minIR_30 = '1'"", ""deltaQ_min_70 = '0'"", ""IRDiff2And100_55 = '0'""]"
"[""minIR_30 = '1'"", ""IRDiff2And100_55 = '0'"", ""deltaQ_min_70 = '0'""]"
"[""minIR_30 = '1'"", ""tempIntT_45 = '0'"", ""IRDiff2And100_55 = '0'""]"
"[""minIR_30 = '1'"", ""IRDiff2And100_55 = '0'"", ""tempIntT_45 = '0'""]"
"[""minIR_30 = '1'"", ""tempIntT_35 = '0'"", ""IRDiff2And100_55 = '0'""]"
"[""minIR_30 = '1'"", ""IRDiff2And100_55 = '0'"", ""tempIntT_35 = '0'""]"
"[""minIR_30 = '1'"", ""qd2_45 = '0'""]"
"[""minIR_30 = '1'"", ""deltaQ_min_70 = '0'"", ""qd2_45 = '0'""]"
"[""minIR_30 = '1'"", ""deltaQ_min_70 = '0'"", ""tempIntT_45 = '0'""]"
"[""minIR_30 = '1'"", ""tempIntT_45 = '0'"", ""deltaQ_min_70 = '0'""]"
"[""minIR_30 = '1'"", ""tempIntT_45 = '0'"", ""qd2_45 = '0'""]"
"[""minIR_30 = '1'"", ""IRDiff2And100_55 = '0'""]"
"[""minIR_30 = '1'"", ""capFadeCycle2Slope_20 = '0'"", ""IRDiff2And100_55 = '0'""]"
"[""minIR_30 = '1'"", ""capFadeCycle2Intercept_65 = '0'"", ""IRDiff2And100_55 = '0'""]"
"[""minIR_30 = '1'"", ""qd2_55 = '0'"", ""IRDiff2And100_55 = '0'""]"
"[""minIR_30 = '1'"", ""IRDiff2And100_55 = '0'"", ""capFadeCycle2Slope_20 = '0'""]"
"[""minIR_30 = '1'"", ""IRDiff2And100_55 = '0'"", ""capFadeCycle2Intercept_65 = '0'""]"
"[""minIR_30 = '1'"", ""IRDiff2And100_55 = '0'"", ""qd2_55 = '0'""]"
"[""minIR_30 = '1'"", ""IRDiff2And100_55 = '0'"", ""IRDiff2And100_75 = '0'""]"
"[""minIR_30 = '1'"", ""IRDiff2And100_75 = '0'"", ""IRDiff2And100_55 = '0'""]"
"[""minIR_30 = '1'"", ""deltaQ_min_70 = '0'"", ""tempIntT_35 = '0'""]"
"[""minIR_30 = '1'"", ""tempIntT_35 = '0'"", ""deltaQ_min_70 = '0'""]"
"[""minIR_30 = '1'"", ""deltaQ_min_70 = '0'""]"
"[""minIR_30 = '1'"", ""deltaQ_min_70 = '0'"", ""capFadeCycle2Slope_20 = '0'""]"
"[""minIR_30 = '1'"", ""deltaQ_min_70 = '0'"", ""capFadeCycle2Intercept_65 = '0'""]"
"[""minIR_30 = '1'"", ""deltaQ_min_70 = '0'"", ""qd2_55 = '0'""]"
"[""minIR_30 = '1'"", ""deltaQ_min_70 = '0'"", ""IRDiff2And100_75 = '0'""]"
"[""minIR_30 = '1'"", ""capFadeCycle2Slope_20 = '0'"", ""deltaQ_min_70 = '0'""]"
"[""minIR_30 = '1'"", ""capFadeCycle2Intercept_65 = '0'"", ""deltaQ_min_70 = '0'""]"
"[""minIR_30 = '1'"", ""qd2_55 = '0'"", ""deltaQ_min_70 = '0'""]"
"[""minIR_30 = '1'"", ""IRDiff2And100_75 = '0'"", ""deltaQ_min_70 = '0'""]"
"[""minIR_30 = '1'"", ""capFadeCycle2Intercept_50 = '0'""]"
"[""minIR_30 = '1'"", ""tempIntT_60 = '0'"", ""capFadeCycle2Intercept_50 = '0'""]"
"[""minIR_30 = '1'"", ""tempIntT_60 = '0'"", ""IRDiff2And100_55 = '0'""]"
"[""minIR_30 = '1'"", ""IRDiff2And100_55 = '0'"", ""capFadeCycle2Intercept_50 = '0'""]"
